Puntajes Promedios,,,,,,
,Hombres ,Mujeres,GENERAL,,,
2018,267,275,271,,,
2019,-,-,,,,
2020,-,-,,,,
2021,-,-,,,,
2022,264,270,267,,,
2023,269,275,272,,,
,,,,,,
Puntaje promedio por GSE,,,,,,
,2018,2019,2020,2021,2022,2023
Bajo ,251,-,-,-,245,251
Medio Bajo,259,-,-,-,255,260
Medio,272,-,-,-,267,270
Medio Alto,286,-,-,-,280,282
Alto,303,-,-,-,300,301
,,,,,,
,,,,,,
Estudiantes y establecimientos a nivel nacional,,,,,,
,N°  Alumnos,% del total,N° Establecimientos,% del total,,
2018,239.891,"94,70%",7.306,"98,70%",,
2019,-,-,-,-,,
2020,-,-,-,-,,
2021,-,-,-,-,,
2022,226.929,"90,20%",7.074,"97,80%",,
2023,223.923,91%,7.038,"97,70%",,
,,,,,,
,,,,,,
% de Concentración de habilidades a medir,,,,,,
,2018,2019,2020,2021,2022,2023
Localizar ,32%,-,-,-,58%,58%
Interpretar y Relacionar,53%,-,-,-,24%,24%
Reflexionar,15%,-,-,-,18%,18%
,,,,,,
,,,,,,
PUNTAJE MÁXIMO DEL SIMCE SON 400 PUNTOS,,,,,,