Regiones,Personas socias activas,Número de préstamos,Actividades de Fomento Lector,Bibliotecas del SNBP,Población
Región de Arica y Parinacota,3015,18397,169,7,259802
Región de Tarapacá,1458,8630,106,7,401588
Región de Antofagasta,8446,27962,341,12,714142
Región de Atacama,3754,14188,277,11,319048
Región de Coquimbo,13298,70300,463,21,869103
Región de Valparaíso,29511,159925,1628,36,2010849
Región Metropolitana,154248,603212,3655,89,8367790
Región de O’Higgins,15225,67697,754,30,1017701
Región del Maule,13735,57395,593,29,1162641
Región de Ñuble,7639,31860,495,24,519437
Región del Biobío,20599,64320,423,28,1681430
Región de La Araucanía,30212,132272,1347,51,1028201
Región de Los Ríos,12223,46074,625,16,411205
Región de Los Lagos,21668,116333,1001,32,907429
Región de Aysén,6921,32458,289,21,108306
Región de Magallanes,2820,11033,179,7,182217