Regiones,Bibliotecas del SNBP,Población,Bibliotecas por cada 100k habitantes
Región de Arica y Parinacota,7,259802,2.69
Región de Tarapacá,7,401588,1.74
Región de Antofagasta,12,714142,1.68
Región de Atacama,11,319048,3.45
Región de Coquimbo,21,869103,2.42
Región de Valparaíso,36,2010849,1.79
Región Metropolitana,89,8367790,01.06
Región de O’Higgins,30,1017701,2.95
Región del Maule,29,1162641,2.49
Región de Ñuble,24,519437,4.62
Región del Biobío,28,1681430,1.67
Región de La Araucanía,51,1028201,4.96
Región de Los Ríos,16,411205,3.89
Región de Los Lagos,32,907429,3.53
Región de Aysén,21,108306,19.39
Región de Magallanes,7,182217,3.84